comp_id,smiles
CHEMBL1644075,COCc1ccc(CN(Cc2nc3ccccc3[nH]2)C2CCCc3cccnc32)c(CN)c1
CHEMBL1644076,NCc1cc(C(=O)O)ccc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1644077,COC(=O)c1ccc(CN(Cc2nc3ccccc3[nH]2)C2CCCc3cccnc32)c(CN)c1
CHEMBL1644078,NCc1cc(C(N)=O)ccc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1644079,CO/N=C/c1ccc(CN(Cc2nc3ccccc3[nH]2)C2CCCc3cccnc32)c(CN)c1
CHEMBL1644080,NCc1ncccc1CN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21
CHEMBL1644081,NCc1cscc1N(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21
CHEMBL1644082,NCc1cocc1N(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21
CHEMBL1644083,NCc1ccncc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1644085,NCc1sccc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1644088,NCc1ccoc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1644089,NCc1occc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1644092,NCc1ncoc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1644094,NCc1ncccc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1644095,NCc1cscc1N(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1644096,NCc1cocc1N(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1682854,Cc1cccnc1CN(CCCCN)C1CCCc2cccnc21
CHEMBL1682855,Cc1ccnc(CN(CCCCN)C2CCCc3cccnc32)c1
CHEMBL1682856,Cc1ccc(CN(CCCCN)C2CCCc3cccnc32)nc1
CHEMBL1682857,Cc1cccc(CN(CCCCN)C2CCCc3cccnc32)n1
CHEMBL1682858,Cc1cc(C)nc(CN(CCCCN)C2CCCc3cccnc32)c1
CHEMBL1682859,Cc1cnc(CN(CCCCN)C2CCCc3cccnc32)c(C)c1
CHEMBL1682860,NCCCCN(Cc1cccc(N)n1)C1CCCc2cccnc21
